           1   0.0598992   0.0598992           0
           2   0.0598996   0.0598994 1.52036e-07
           3   0.0598947   0.0598979 1.27632e-06
           4   0.0598981   0.0598979 9.58475e-07
           5    0.059895   0.0598973 9.22807e-07
           6   0.0598994   0.0598977 8.32318e-07
           7   0.0598998    0.059898 7.64984e-07
           8   0.0598984    0.059898 6.71341e-07
           9   0.0599009   0.0598984 6.67715e-07
          10   0.0598968   0.0598982 6.19071e-07
          11   0.0598936   0.0598978 6.90906e-07
          12   0.0598955   0.0598976 6.58769e-07
          13   0.0598986   0.0598977 6.12761e-07
          14   0.0598958   0.0598975 5.83345e-07
          15   0.0598993   0.0598977 5.56601e-07
          16    0.059902   0.0598979 5.84698e-07
          17   0.0598971   0.0598979 5.52244e-07
          18   0.0599008    0.059898 5.44306e-07
          19   0.0598947   0.0598979 5.43752e-07
          20   0.0598987   0.0598979 5.18258e-07
