           3      0.0068   0.0138824  0.00135317
        2.95     0.03724   0.0109332  0.00112863
         2.9     0.00956   0.0121656  0.00134574
        2.85       8e-05   0.0161504  0.00128865
         2.8     0.01592   0.0147928  0.00155081
        2.75     0.00352   0.0149248  0.00129051
         2.7     0.02372   0.0184376  0.00158932
        2.65     0.00524   0.0156212  0.00146362
         2.6     0.01688    0.015104  0.00155141
        2.55    -0.01244   0.0169236  0.00157317
         2.5     0.02648   0.0204512  0.00144951
        2.45       0.012   0.0191896  0.00172672
         2.4       0.016   0.0189144  0.00166449
        2.35     0.00532   0.0230744  0.00176974
         2.3      0.0212   0.0224032  0.00179785
        2.25      0.0262   0.0245972   0.0018811
         2.2     0.05616      0.0223  0.00169413
        2.15     0.02604    0.022258  0.00204227
         2.1     0.04584    0.024338  0.00189289
        2.05     0.00564    0.025974   0.0019478
           2     0.06016   0.0280604  0.00233533
        1.95     0.00184   0.0281876  0.00208732
         1.9       0.023   0.0306372  0.00222253
        1.85     0.01392   0.0319224  0.00196893
         1.8     0.02992   0.0342928  0.00218974
        1.75     0.01376   0.0326344  0.00255565
         1.7      0.1002   0.0395112  0.00289892
        1.65     0.01992    0.041972  0.00269984
         1.6     0.04996   0.0418352  0.00289775
        1.55     0.10796   0.0540272  0.00311991
         1.5     0.08012   0.0528384  0.00324985
        1.45     0.03744   0.0588756   0.0038718
         1.4     0.10092   0.0641308  0.00372931
        1.35     0.02436   0.0661392  0.00400615
         1.3    -0.01184   0.0693688  0.00439602
        1.25     0.08088   0.0771876  0.00421961
         1.2     0.06292   0.0906184  0.00592339
        1.15     0.00208   0.0939704  0.00633471
         1.1     0.07816     0.11001  0.00716589
        1.05    -0.01172    0.135786  0.00665376
           1     0.09148    0.136478  0.00887576
        0.95    -0.00692    0.165464   0.0107071
         0.9     0.24004    0.189753   0.0125315
        0.85     0.18504    0.225019   0.0135664
         0.8     0.28136    0.288164   0.0186405
        0.75     0.50204    0.330968   0.0205199
         0.7     0.22872    0.448378   0.0213767
        0.65      0.3236    0.577241   0.0227007
         0.6     0.89768    0.736474   0.0218132
        0.55      0.9892    0.822835   0.0268685
         0.5     0.92396    0.834826   0.0335013
