           1    0.884505    0.884505           0
           2    0.884469    0.884487 1.27054e-05
           3    0.885457     0.88481 0.000264126
           4    0.884825    0.884814 0.000198122
           5    0.885289    0.884909 0.000179842
           6    0.883952    0.884749 0.000208891
           7    0.885016    0.884787 0.000182478
           8    0.886122    0.884954 0.000223238
           9    0.885278     0.88499 0.000201307
          10    0.883707    0.884862 0.000218301
          11      0.8847    0.884847 0.000198953
          12    0.884871    0.884849 0.000182384
          13    0.885003    0.884861 0.000168739
          14    0.886801       0.885 0.000205849
          15    0.884691    0.884979 0.000193149
          16    0.885236    0.884995 0.000181742
          17    0.885997    0.885054 0.000180358
          18    0.883351    0.884959 0.000193557
          19    0.884515    0.884936 0.000184777
          20    0.885687    0.884973 0.000179309
