           1     1.39125     1.39125           0
           2     1.39122     1.39123  1.2232e-05
           3     1.39126     1.39124 1.11835e-05
           4     1.39116     1.39122 2.00651e-05
           5     1.39126     1.39123 1.75974e-05
           6     1.39106      1.3912 2.94184e-05
           7      1.3911     1.39119 2.84503e-05
           8      1.3912     1.39119 2.49471e-05
           9     1.39115     1.39118 2.25544e-05
          10     1.39116     1.39118 2.03944e-05
          11     1.39108     1.39117 2.03787e-05
          12     1.39099     1.39116 2.38311e-05
          13     1.39094     1.39114 2.73857e-05
          14     1.39105     1.39113 2.61379e-05
          15     1.39106     1.39113  2.4818e-05
          16     1.39113     1.39113 2.32674e-05
          17     1.39112     1.39113 2.19117e-05
          18     1.39106     1.39113 2.10775e-05
          19     1.39107     1.39112  2.0162e-05
          20     1.39115     1.39112 1.91922e-05
