           1     1.75113     1.75113           0
           2     1.77198     1.76156   0.0073716
           3     1.77281     1.76531  0.00579019
           4     1.80627     1.77555  0.00987529
           5     1.76829      1.7741  0.00800618
           6     1.75833     1.77147  0.00708991
           7      1.7051     1.76199   0.0106764
           8     1.71221     1.75576   0.0110064
           9     1.71996     1.75179   0.0104777
          10     1.79627     1.75624   0.0103311
          11     1.78304     1.75867  0.00967506
          12     1.77448     1.75999  0.00895802
          13     1.81374     1.76412  0.00917351
          14     1.82234     1.76828  0.00941377
          15     1.80464     1.77071   0.0090929
          16      1.8052     1.77286  0.00877642
          17     1.79444     1.77413  0.00835145
          18     1.78903     1.77496  0.00792838
          19     1.86122      1.7795  0.00871451
          20     1.82702     1.78188  0.00859665
